county_fips,NAME,median_incomeE,median_incomeM,median_ageE,median_ageM,total_populationE,total_populationM,median_valueE,median_valueM,pct_collegeE,pct_collegeM,county_name,totalvotes,democrat_votes,libertarian_votes,other_votes,republican_votes,pct_democrat_votes,pct_libertarian_votes,pct_other_votes,pct_republican_votes,win_candidate
16001,"Ada County, Idaho",69952,1549,37.2,0.2,469473,NA,298600,3927,40.1,0.8,ADA,259389,120539,5310,2841,130699,46.47035919025094,2.0471184205960933,1.0952661832228814,50.387256205930086,Trump
16003,"Adams County, Idaho",50309,3186,55.3,1.3,4200,NA,228500,20118,18.8,3,ADAMS,2586,591,34,20,1941,22.8538283062645,1.3147718484145399,0.7733952049497294,75.05800464037124,Trump
16005,"Bannock County, Idaho",51977,2046,34.1,0.3,86742,NA,167300,3431,27,1.3,BANNOCK,39553,14682,947,593,23331,37.11981392056229,2.3942558086617955,1.499254165297196,58.98667610547872,Trump
16007,"Bear Lake County, Idaho",52829,3650,39.4,0.9,6054,NA,154500,11139,18.3,2.9,BEAR LAKE,3315,350,25,26,2914,10.558069381598793,0.7541478129713424,0.7843137254901961,87.90346907993967,Trump
16009,"Benewah County, Idaho",47983,2962,46,0.5,9231,NA,177500,8795,17.9,3.1,BENEWAH,4973,977,58,60,3878,19.64608887995174,1.1662980092499498,1.2065151819827067,77.9810979288156,Trump
16011,"Bingham County, Idaho",58260,2673,34.1,0.3,46246,NA,168200,7821,20.5,2.2,BINGHAM,19996,4124,307,270,15295,20.624124824964994,1.5353070614122826,1.3502700540108021,76.49029805961193,Trump
16013,"Blaine County, Idaho",64627,4953,43.7,0.6,22729,NA,458100,32716,39.3,3.6,BLAINE,13289,8919,168,170,4032,67.11565956806382,1.2642034765595607,1.2792535179471745,30.340883437429454,Biden
16015,"Boise County, Idaho",51760,7210,54.4,0.4,7625,NA,234900,22752,28.4,3.4,BOISE,4820,1204,67,64,3485,24.979253112033195,1.3900414937759336,1.3278008298755186,72.30290456431536,Trump
16017,"Bonner County, Idaho",51594,3114,47.9,0.4,44688,NA,275700,14758,26.6,2.1,BONNER,27335,8310,401,255,18369,30.400585330162794,1.4669837205048473,0.932869946954454,67.1995610023779,Trump
16019,"Bonneville County, Idaho",61435,1525,33,0.3,116970,NA,202100,5079,30.9,1.4,BONNEVILLE,53995,14254,1288,648,37805,26.398740624131868,2.385406056116307,1.2001111214001297,70.0157421983517,Trump
16021,"Boundary County, Idaho",45319,5784,43.8,0.9,12156,NA,235000,20237,18,3.4,BOUNDARY,6313,1220,82,74,4937,19.325201964200854,1.2989070172659591,1.1721843814351338,78.20370663709805,Trump
16023,"Butte County, Idaho",37404,14947,46.8,5.2,2603,NA,146600,25048,17.2,4.1,BUTTE,1415,188,11,14,1202,13.286219081272085,0.7773851590106008,0.9893992932862191,84.94699646643109,Trump
16025,"Camas County, Idaho",36908,9351,44.5,1.5,1069,143,164900,19382,22.1,9.1,CAMAS,754,149,7,91,507,19.76127320954907,0.9283819628647214,12.068965517241379,67.24137931034483,Trump
16027,"Canyon County, Idaho",56916,1858,33.8,0.2,223890,NA,211600,4788,20.2,1.3,CANYON,90410,25881,1696,1074,61759,28.626258157283484,1.8758986837739189,1.187921690078531,68.30992146886406,Trump
16029,"Caribou County, Idaho",58099,4380,37.9,1.1,7028,NA,151100,11143,17.5,3.6,CARIBOU,3416,431,41,38,2906,12.617096018735364,1.2002341920374706,1.1124121779859486,85.07025761124122,Trump
16031,"Cassia County, Idaho",52256,2652,33.3,0.4,23847,NA,168400,10124,19.4,2.2,CASSIA,9629,1464,121,137,7907,15.204071035413854,1.2566206251947243,1.4227853359642746,82.11652300342715,Trump
16033,"Clark County, Idaho",36429,11406,37.7,11.1,885,143,122900,101607,16.7,7.9,CLARK,311,41,4,2,264,13.183279742765272,1.2861736334405145,0.6430868167202572,84.88745980707395,Trump
16035,"Clearwater County, Idaho",42413,6304,50.8,0.4,8735,NA,167700,10521,17.3,2.2,CLEARWATER,4419,877,47,42,3453,19.846119031455082,1.063589047295768,0.9504412763068567,78.1398506449423,Trump
16037,"Custer County, Idaho",44757,9055,53,4.4,4193,NA,216700,17011,29.7,8.2,CUSTER,2739,603,17,30,2089,22.015334063526833,0.6206644760861628,1.095290251916758,76.26871120847024,Trump
16039,"Elmore County, Idaho",45656,2570,31.8,0.4,27043,NA,164400,8231,20.7,3,ELMORE,10205,2601,225,133,7246,25.4875061244488,2.2048015678588926,1.3032827045565898,71.00440960313573,Trump
16041,"Franklin County, Idaho",59934,6190,33.5,0.9,13736,NA,222200,14074,17.1,3.3,FRANKLIN,6664,657,87,75,5845,9.858943577430972,1.3055222088835534,1.125450180072029,87.71008403361344,Trump
16043,"Fremont County, Idaho",56825,4702,37.8,0.8,13111,NA,168400,7755,19.6,2.7,FREMONT,6719,998,88,85,5548,14.853400803691025,1.3097187081410924,1.2650692067271916,82.57181128144069,Trump
16045,"Gem County, Idaho",53720,4750,45,0.6,17771,NA,198700,21365,18.9,2.8,GEM,9958,1803,121,83,7951,18.10604539064069,1.2151034344245832,0.8335007029524002,79.84535047198233,Trump
16047,"Gooding County, Idaho",50057,8237,38.6,0.9,15280,NA,156500,12182,16.9,3.2,GOODING,6050,1256,67,68,4659,20.760330578512395,1.1074380165289257,1.1239669421487601,77.00826446280992,Trump
16049,"Idaho County, Idaho",44951,3402,50.5,0.4,16511,NA,197200,15305,20.7,2.6,IDAHO,9602,1561,118,97,7826,16.257029785461363,1.2289106436159134,1.0102062070402,81.50385336388253,Trump
16051,"Jefferson County, Idaho",65577,3698,31.9,0.7,29238,NA,223900,11497,25.2,2.8,JEFFERSON,14173,1661,252,161,12099,11.719466591406196,1.7780286460170749,1.1359627460664645,85.36654201651027,Trump
16053,"Jerome County, Idaho",55521,3380,32.8,0.7,24074,NA,178300,14175,14.8,2.4,JEROME,7812,1893,100,85,5734,24.23195084485407,1.2800819252432156,1.0880696364567333,73.39989759344598,Trump
16055,"Kootenai County, Idaho",60903,2525,40.3,0.3,161676,NA,294100,6898,26.6,1.3,KOOTENAI,89467,24312,1594,724,62837,27.174265371589524,1.7816625124347525,0.8092369253467759,70.23483519062896,Trump
16057,"Latah County, Idaho",51312,2506,29.5,0.4,40052,NA,245200,6972,44.4,2.8,LATAH,20570,10236,608,254,9472,49.76178901312591,2.9557608167233838,1.2348079727758872,46.04764219737481,Biden
16059,"Lemhi County, Idaho",38819,4174,53.4,1,7929,NA,192100,26158,23.4,3.8,LEMHI,4738,1032,78,36,3592,21.78134233853947,1.646264246517518,0.7598142676234698,75.81257914731955,Trump
16061,"Lewis County, Idaho",42370,3999,48.7,0.3,3850,NA,150000,13008,19.1,2.6,LEWIS,1870,349,16,16,1489,18.663101604278076,0.8556149732620321,0.8556149732620321,79.62566844919786,Trump
16063,"Lincoln County, Idaho",52363,3188,35.8,1.2,5342,NA,152500,10495,11.1,2.2,LINCOLN,1940,414,21,36,1469,21.34020618556701,1.0824742268041236,1.8556701030927836,75.72164948453607,Trump
16065,"Madison County, Idaho",44419,4005,23.5,0.2,39725,NA,229800,11448,38.6,3.3,MADISON,17112,2666,644,243,13559,15.579710144927535,3.763440860215054,1.4200561009817672,79.23679289387564,Trump
16067,"Minidoka County, Idaho",53011,2954,35.2,0.2,20817,NA,155600,8636,13.8,2.1,MINIDOKA,7993,1550,87,91,6265,19.39196797197548,1.0884523958463657,1.138496184161141,78.38108344801702,Trump
16069,"Nez Perce County, Idaho",57099,4933,40.4,0.5,40468,NA,205600,6510,24.1,2.2,NEZ PERCE,20967,6686,296,247,13738,31.888205274955883,1.4117422616492583,1.178041684551915,65.52201077884294,Trump
16071,"Oneida County, Idaho",54484,8761,39.5,1.1,4429,NA,182700,22380,22.2,5.3,ONEIDA,2451,249,27,27,2148,10.159118727050185,1.101591187270502,1.101591187270502,87.63769889840881,Trump
16073,"Owyhee County, Idaho",48601,7189,40.4,1.2,11724,NA,160900,10497,12.5,2.1,OWYHEE,4742,816,57,50,3819,17.207929143821172,1.2020244622522143,1.054407423028258,80.53563897089836,Trump
16075,"Payette County, Idaho",52788,4101,39.4,0.7,23705,NA,183600,10712,16.4,2.7,PAYETTE,11293,2161,166,104,8862,19.13574780837687,1.4699371291950767,0.9209244664836626,78.4733905959444,Trump
16077,"Power County, Idaho",51014,8845,38.8,1.7,7635,NA,149100,13686,15.7,4,POWER,3074,865,41,52,2116,28.13923227065712,1.3337670787247886,1.6916070266753416,68.83539362394274,Trump
16079,"Shoshone County, Idaho",40483,3694,46.8,0.5,12700,NA,133000,8608,10.6,1.6,SHOSHONE,6049,1693,71,69,4216,27.988097206149774,1.1737477268970078,1.1406844106463878,69.69747065630682,Trump
16081,"Teton County, Idaho",73274,8027,37.1,0.9,11776,NA,358100,15367,41.4,4.8,TETON,6347,3318,109,62,2858,52.276666141484164,1.7173467780053568,0.976839451709469,45.029147628801006,Biden
16083,"Twin Falls County, Idaho",53363,2342,35,0.1,86198,NA,182100,5040,23.3,1.9,TWIN FALLS,36501,9391,770,443,25897,25.728062244870003,2.1095312457192956,1.2136653790307115,70.94874113037999,Trump
16085,"Valley County, Idaho",63115,10879,50.4,1.7,11085,NA,306900,25039,30.3,5,VALLEY,7063,2976,73,67,3947,42.13507008353391,1.0335551465382982,0.9486054084666573,55.882769361461136,Trump
16087,"Washington County, Idaho",42126,4048,45,0.9,10128,NA,163000,12135,19,3.1,WASHINGTON,5344,1073,57,60,4154,20.07859281437126,1.066616766467066,1.122754491017964,77.73203592814372,Trump
